Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,72.940002,73.220001,72.360001,72.989998,69.076790,1706800
2015-09-15,73.070000,73.070000,70.870003,72.239998,68.367012,3177500
2015-09-16,72.519997,72.910004,72.029999,72.790001,68.887520,1895100
2015-09-17,72.870003,73.339996,72.010002,72.160004,68.291298,2208100
2015-09-18,70.860001,70.860001,69.059998,69.680000,65.944252,7984800
2015-09-21,70.199997,70.800003,69.790001,70.220001,66.455307,1980400
2015-09-22,68.839996,69.330002,67.580002,68.050003,64.401642,3303200
2015-09-23,68.379997,68.449997,67.570000,67.720001,64.089340,1374400
2015-09-24,68.980003,68.980003,67.779999,68.199997,64.543610,2969700
2015-09-25,68.589996,69.519997,68.040001,68.500000,64.827507,2276400
2015-09-28,67.730003,67.970001,66.040001,66.169998,62.622425,2552200
2015-09-29,66.190002,66.629997,65.309998,65.440002,61.931576,3576100
2015-09-30,66.110001,68.370003,65.760002,68.199997,64.543610,3578200
2015-10-01,68.389999,70.160004,68.250000,70.110001,66.351196,3393900
2015-10-02,69.099998,71.489998,68.839996,71.459999,67.628830,2748900
2015-10-05,71.809998,72.910004,70.599998,72.760002,68.859123,2101400
2015-10-06,72.349998,72.959999,71.760002,71.910004,68.054695,2546000
2015-10-07,72.050003,74.190002,72.010002,74.169998,70.193512,2406400
2015-10-08,73.900002,76.900002,73.809998,76.559998,72.455383,3493700
2015-10-09,76.650002,77.000000,75.599998,76.470001,72.370216,2007400
2015-10-12,76.510002,76.900002,75.980003,76.410004,72.313446,1516400
2015-10-13,75.370003,76.400002,74.800003,75.279999,71.244026,2917300
2015-10-14,75.199997,75.589996,73.980003,74.169998,70.193512,2326200
2015-10-15,74.750000,75.000000,73.180000,74.839996,70.827606,1858000
2015-10-16,74.699997,74.699997,73.480003,73.830002,69.871765,2774300
2015-10-19,73.620003,74.459999,73.089996,73.379997,69.445877,2426600
2015-10-20,74.349998,75.389999,74.160004,74.889999,70.874947,1776500
2015-10-21,74.849998,75.500000,73.779999,73.849998,69.890686,1541100
2015-10-22,74.519997,77.330002,74.330002,76.870003,72.748795,3517100
2015-10-23,75.940002,76.190002,74.400002,75.300003,71.262947,4880400
2015-10-26,75.339996,77.000000,74.879997,76.610001,72.502731,2077200
2015-10-27,76.599998,79.029999,76.180000,77.989998,73.808723,4555700
2015-10-28,79.559998,79.879997,75.290001,76.889999,72.767715,5232900
2015-10-29,74.410004,77.160004,73.830002,76.980003,72.852875,3891300
2015-10-30,77.330002,77.879997,76.650002,76.779999,72.663605,2561100
2015-11-02,77.000000,77.900002,76.739998,77.459999,73.307137,1614200
2015-11-03,77.260002,77.559998,75.919998,76.709999,72.597351,1930500
2015-11-04,76.839996,77.089996,76.279999,77.019997,72.890739,1352500
2015-11-05,77.059998,77.449997,76.099998,76.720001,72.606827,1215700
2015-11-06,76.760002,77.339996,76.150002,76.680000,72.568962,1395400
2015-11-09,76.540001,76.669998,74.440002,75.760002,71.698280,1237500
