KHC,LBTYA,LBTYK,MYL,WBA,AAPL,GOOG,GOOGL,SPY,Date
63.697131999999996,46.84,43.599998,49.060001,82.426338,107.616867,623.23999,652.469971,180.997177,2015-09-14
64.41484100000001,47.189999,44.189999,49.560001,83.11193100000001,108.522148,635.1400150000001,665.070007,183.259552,2015-09-15
65.252167,47.779999,44.57,49.009997999999996,83.102783,108.643478,635.97998,665.52002,184.847748,2015-09-16
65.303436,48.799999,45.400002,49.369999,81.978424,106.31961100000001,642.900024,671.669983,184.43223600000002,2015-09-17
64.45755799999999,48.700001,45.549999,49.59,79.062363,105.880959,629.25,660.919983,181.41835,2015-09-18
64.252502,49.09,45.84,48.16,80.671211,107.523544,635.4400019999999,666.97998,182.355865,2015-09-21
63.492062,48.279999,45.040001000000004,46.650002,79.263458,105.834305,622.6900019999999,653.200012,179.988922,2015-09-22
62.63764200000001,48.349998,45.0,45.41,79.930786,106.692917,622.3599849999999,653.289978,179.70117199999999,2015-09-23
62.30441999999999,48.189999,44.709998999999996,45.560001,78.385918,107.327568,625.799988,654.909973,179.051407,2015-09-24
62.671814000000005,47.959998999999996,44.470001,43.610001000000004,77.992836,107.05689199999999,611.969971,640.150024,179.00502,2015-09-25
59.800961,43.09,41.16,40.860001000000004,75.53385899999999,104.93833899999998,594.8900150000001,624.25,174.51251200000002,2015-09-28
59.125961,42.490002000000004,40.700001,39.799999,75.01280200000001,101.78384399999999,594.969971,622.6099849999999,174.614578,2015-09-29
60.305073,42.939999,41.02,40.259997999999996,75.963493,102.941124,608.419983,638.369995,177.87258899999998,2015-09-30
60.51868100000001,43.959998999999996,41.98,41.41,77.362114,102.26915699999999,611.289978,642.0,178.33673100000001,2015-10-01
61.01424,44.290001000000004,42.380001,43.66,79.62912800000001,103.015785,626.909973,656.98999,181.000656,2015-10-02
61.723395999999994,45.09,43.169998,43.900002,80.40612,103.389107,641.469971,671.679993,184.221573,2015-10-05
61.919922,45.139998999999996,43.16,42.849998,76.877625,103.883736,645.4400019999999,671.6400150000001,183.590363,2015-10-06
62.500938,45.32,43.310001,42.23,77.188423,103.389107,642.3599849999999,670.0,185.09407,2015-10-07
63.594589,45.209998999999996,43.279999,42.669998,77.042152,102.19448100000001,639.159973,667.0,186.764893,2015-10-08
63.560421,45.150002,43.259997999999996,42.549999,78.038551,104.639717,643.6099849999999,671.23999,186.876205,2015-10-09
62.987956999999994,44.330002,42.610001000000004,42.900002,78.806412,104.15436600000001,646.669983,676.429993,187.052582,2015-10-12
62.697444999999995,44.66,42.709998999999996,41.419998,77.828293,104.331711,652.299988,683.169983,185.873749,2015-10-13
63.030678,44.759997999999996,42.549999,42.240002000000004,76.81360600000001,102.857132,651.159973,680.409973,184.982681,2015-10-14
64.269592,45.799999,43.709998999999996,42.73,79.76621999999999,104.397049,661.73999,693.02002,187.822983,2015-10-15
66.123672,45.830002,43.720001,43.549999,80.570656,103.63176700000001,662.200012,695.320007,188.676971,2015-10-16
65.619576,45.779999,43.889998999999996,43.740002000000004,80.86319,104.275711,666.099976,699.950012,188.76973,2015-10-19
65.67938199999999,45.389998999999996,43.529999,42.549999,81.11913299999999,106.17964199999999,650.280029,680.0,188.528458,2015-10-20
65.833176,44.259997999999996,42.459998999999996,40.889998999999996,80.479263,106.170296,642.6099849999999,671.799988,187.358902,2015-10-21
68.302444,43.5,41.939999,39.16,81.018578,107.79418899999999,651.789978,681.1400150000001,190.524094,2015-10-22
66.627785,44.259997999999996,42.540001000000004,40.959998999999996,82.23436,111.13535300000001,702.0,719.330017,192.612534,2015-10-23
65.628113,44.259997999999996,42.700001,41.849998,81.795601,107.588867,712.780029,731.119995,192.139175,2015-10-26
65.935699,44.509997999999996,42.790001000000004,44.09,86.987801,106.90756999999999,708.48999,732.820007,191.767868,2015-10-27
67.653099,44.759997999999996,42.810001,44.889998999999996,77.65463299999999,111.31266799999999,712.950012,736.919983,193.949173,2015-10-28
67.200249,44.540001000000004,42.509997999999996,45.779999,76.676506,112.48859399999999,716.919983,744.849976,193.83776899999998,2015-10-29
66.61924,44.52,42.639998999999996,44.09,77.407814,111.527328,710.8099980000001,737.3900150000001,193.002396,2015-10-30
66.87557199999999,45.66,43.860001000000004,45.810001,79.117226,113.09524499999999,721.1099849999999,747.73999,195.28581200000002,2015-11-02
65.303436,46.400002,44.540001000000004,46.57,80.652939,114.39250200000001,722.159973,748.820007,195.85201999999998,2015-11-03
64.782234,45.77,44.200001,46.580002,79.967339,113.86053500000001,728.1099849999999,755.3099980000001,195.25795,2015-11-04
64.44046,45.68,44.02,44.790001000000004,78.56875600000001,113.335655,731.25,760.669983,195.063019,2015-11-05
61.526901,46.130001,44.200001,44.959998999999996,77.398651,113.46687299999999,733.76001,761.599976,194.960922,2015-11-06
60.86898000000001,45.650002,43.82,45.139998999999996,76.310875,113.00760700000001,724.8900150000001,754.77002,193.141647,2015-11-09
61.586696999999994,46.009997999999996,44.200001,45.439999,76.356567,109.445953,728.320007,758.26001,193.58715800000002,2015-11-10
61.612331000000005,46.380001,44.450001,44.490002000000004,74.79342700000001,108.827339,735.400024,765.25,192.826065,2015-11-11
61.065414000000004,45.75,44.009997999999996,43.200001,73.820175,108.46180700000001,731.22998,756.530029,190.13421599999998,2015-11-12
60.953461,45.349998,43.580002,48.779999,72.690834,105.29380800000001,717.0,740.070007,187.999359,2015-11-13
61.71569100000001,44.099998,42.639998999999996,50.0,75.14231099999999,107.01840200000001,728.960022,750.419983,190.85823100000002,2015-11-16
