Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,89.050003,89.529999,88.269997,88.820000,85.268829,1517900
2015-09-15,89.129997,89.769997,88.360001,88.989998,85.432022,1791200
2015-09-16,89.150002,89.610001,88.000000,89.470001,85.892815,1609200
2015-09-17,86.900002,87.370003,85.279999,85.769997,82.340767,6863300
2015-09-18,84.690002,86.199997,84.360001,85.489998,82.071968,5609300
2015-09-21,85.550003,87.300003,85.169998,86.809998,83.339188,3351900
2015-09-22,85.410004,87.239998,85.400002,86.849998,83.377594,3121500
2015-09-23,86.459999,88.370003,86.309998,87.589996,84.088005,2251100
2015-09-24,86.830002,88.430000,86.650002,87.860001,84.347198,2898400
2015-09-25,88.680000,89.589996,87.440002,87.879997,84.366425,2328200
2015-09-28,87.190002,87.930000,86.199997,86.220001,82.772774,2301400
2015-09-29,86.180000,87.180000,85.870003,86.830002,83.358383,1724800
2015-09-30,87.760002,88.830002,87.110001,88.750000,85.201630,2469800
2015-10-01,88.660004,89.720001,87.830002,88.860001,85.307213,2583900
2015-10-02,87.230003,89.550003,85.610001,89.500000,85.921631,1778400
2015-10-05,90.000000,91.500000,89.459999,91.309998,87.659256,1525800
2015-10-06,91.209999,92.190002,90.559998,90.809998,87.179253,1714300
2015-10-07,90.900002,91.489998,89.279999,90.959999,87.612701,1647000
2015-10-08,90.709999,92.419998,90.000000,92.290001,88.893761,1373500
2015-10-09,92.330002,93.260002,92.290001,92.699997,89.288658,1334200
2015-10-12,92.709999,93.470001,91.650002,93.209999,89.779900,1553800
2015-10-13,92.510002,93.199997,91.260002,91.360001,87.997971,1770600
2015-10-14,91.300003,92.139999,90.410004,90.410004,87.082947,1926300
2015-10-15,91.050003,92.480003,90.820000,92.430000,89.028610,2137300
2015-10-16,92.570000,93.790001,91.169998,93.620003,90.174812,1919900
2015-10-19,93.529999,94.389999,92.489998,94.080002,90.617882,1079900
2015-10-20,93.889999,94.739998,93.889999,94.300003,90.829796,1014000
2015-10-21,94.900002,94.980003,93.360001,93.870003,90.415619,1489300
2015-10-22,94.430000,97.300003,94.360001,96.860001,93.295578,1500100
2015-10-23,97.559998,98.000000,96.120003,97.940002,94.335846,1240700
2015-10-26,98.129997,99.000000,97.639999,97.709999,94.114288,1440800
2015-10-27,97.650002,98.230003,97.150002,98.029999,94.422523,1093400
2015-10-28,98.309998,98.400002,97.290001,97.989998,94.383995,1846300
2015-10-29,97.900002,98.269997,97.580002,97.750000,94.152832,1431000
2015-10-30,97.949997,98.120003,97.349998,97.430000,93.844604,1233500
2015-11-02,98.050003,98.199997,97.370003,97.510002,93.921669,1512300
2015-11-03,97.160004,97.970001,97.050003,97.709999,94.114288,1455100
2015-11-04,97.720001,99.150002,97.000000,98.849998,95.212349,1347200
2015-11-05,99.209999,99.500000,97.410004,97.779999,94.181725,1348900
2015-11-06,97.790001,98.540001,97.129997,98.279999,94.663322,960900
2015-11-09,98.180000,98.209999,96.750000,97.510002,93.921669,1119400
2015-11-10,97.440002,98.970001,97.029999,98.879997,95.241249,944100
2015-11-11,99.419998,100.629997,98.779999,99.389999,95.732468,1314200
2015-11-12,99.169998,99.790001,98.000000,98.050003,94.441788,849800
2015-11-13,98.029999,98.690002,96.260002,96.529999,92.977730,1540100
2015-11-16,96.889999,97.570000,95.980003,96.900002,93.334129,1599200
2015-11-17,96.599998,97.459999,96.050003,96.430000,92.881416,1848500
2015-11-18,96.529999,96.889999,95.620003,96.620003,93.064407,3705300
2015-11-19,96.930000,97.680000,95.790001,97.419998,93.834953,3985900
2015-11-20,106.279999,108.000000,101.169998,103.199997,99.402260,6622300
2015-11-23,102.519997,103.830002,100.910004,101.029999,97.312119,2915900
2015-11-24,100.040001,100.750000,97.720001,99.760002,96.088860,3368000
2015-11-25,99.980003,100.870003,99.430000,99.849998,96.175537,1928500
2015-11-27,100.089996,100.760002,99.650002,100.180000,96.493416,1109400
2015-11-30,100.379997,100.760002,99.010002,100.199997,96.512650,4655000
2015-12-01,100.940002,102.580002,100.610001,101.790001,98.044151,2322400
2015-12-02,101.330002,101.800003,99.260002,99.500000,95.838417,1721800
2015-12-03,99.459999,99.910004,95.940002,96.379997,92.833237,2878800
2015-12-04,97.940002,98.860001,96.730003,98.629997,95.000427,2232400
2015-12-07,98.720001,99.019997,98.239998,98.830002,95.193092,1721700
2015-12-08,97.820000,99.000000,97.500000,98.320000,94.701859,1453200
2015-12-09,98.110001,99.690002,97.339996,97.720001,94.123932,1571200
2015-12-10,98.019997,98.550003,96.959999,96.989998,93.420792,1760300
2015-12-11,95.860001,96.910004,95.849998,96.120003,92.582809,2269800
2015-12-14,96.360001,96.930000,94.930000,96.300003,92.756195,2340300
2015-12-15,97.470001,99.360001,96.889999,97.980003,94.374374,1747100
2015-12-16,98.459999,99.139999,97.000000,99.050003,95.404991,1326300
2015-12-17,99.309998,99.989998,97.870003,97.870003,94.268417,1596600
